Fecha;Fuente;Autor
2025-11-21;Perfumarte;Adrian Pons

Categoría;Nombre;Importe;Divisa;URL;URL_Imagen
Hombre;Lima y Enebro (DGB);12.1;€;https://www.perfumarte.com/tienda/citricos/lima-y-enebro-dgb.html;https://www.perfumarte.com/tienda/6260-home_default/lima-y-enebro-dgb.jpg
Hombre;Madera Ambarada (CHP);12.1;€;https://www.perfumarte.com/tienda/amaderados/madera-ambarada-chp.html;https://www.perfumarte.com/tienda/6230-home_default/madera-ambarada-chp.jpg
Hombre;Lima Verde (CH1);12.1;€;https://www.perfumarte.com/tienda/perfume-de-hombre/lima-verde-ch1.html;https://www.perfumarte.com/tienda/6220-home_default/lima-verde-ch1.jpg
Hombre;Lima Ambarada (CKT);12.1;€;https://www.perfumarte.com/tienda/citricos/lima-ambarada-ckt.html;https://www.perfumarte.com/tienda/6232-home_default/lima-ambarada-ckt.jpg
Hombre;Dulce Patchouli (TMM);12.1;€;https://www.perfumarte.com/tienda/perfume-de-hombre/dulce-patchouli-tmm.html;https://www.perfumarte.com/tienda/6368-home_default/dulce-patchouli-tmm.jpg
Hombre;Corazón de acero (VAU);12.1;€;https://www.perfumarte.com/tienda/perfume-de-hombre/corazon-de-acero-vau.html;https://www.perfumarte.com/tienda/6392-home_default/corazon-de-acero-vau.jpg
Hombre;Maderas Blancas (PCO);12.1;€;https://www.perfumarte.com/tienda/amaderados/maderas-blancas-pco.html;https://www.perfumarte.com/tienda/6283-home_default/maderas-blancas-pco.jpg
Hombre;Madera y Clavo (HBB);12.1;€;https://www.perfumarte.com/tienda/perfume-de-hombre/madera-y-clavo-hbb.html;https://www.perfumarte.com/tienda/6276-home_default/madera-y-clavo-hbb.jpg
Hombre;Madera y Clavel (DFA);12.1;€;https://www.perfumarte.com/tienda/perfume-de-hombre/madera-y-clavel-dfa.html;https://www.perfumarte.com/tienda/6252-home_default/madera-y-clavel-dfa.jpg
Hombre;Madera de Roble (CXE);12.1;€;https://www.perfumarte.com/tienda/amaderados/madera-de-roble-cxe.html;https://www.perfumarte.com/tienda/6225-home_default/madera-de-roble-cxe.jpg
Hombre;Madera de Oud (TFO);12.1;€;https://www.perfumarte.com/tienda/amaderados/madera-de-oud-tfo.html;https://www.perfumarte.com/tienda/6300-home_default/madera-de-oud-tfo.jpg
Hombre;Madera de Ámbar (PCI);12.1;€;https://www.perfumarte.com/tienda/amaderados/madera-de-ambar-pci.html;https://www.perfumarte.com/tienda/6306-home_default/madera-de-ambar-pci.jpg
Hombre;Lima y Musgo (LOS);12.1;€;https://www.perfumarte.com/tienda/citricos/lima-y-musgo-los.html;https://www.perfumarte.com/tienda/6302-home_default/lima-y-musgo-los.jpg
